pressure,in_situ_temp,practical_salinity,latitude,longitude,absolute_salinity,conservative_temp,density,sound_speed
290.0,11.322,34.983,-4.006523333333333,76.29734,35.150282583789725,11.27505447584649,1028.009011656927,1499.1910623812869
310.0,11.142,34.971,-4.006523333333333,76.29734,35.1382898985586,11.093185660895392,1028.123223555865,1498.8755660411846
329.8,10.989,34.955,-4.006523333333333,76.29734,35.1223048454418,10.93839816328167,1028.2281826514175,1498.6437253674399
349.9,10.835,34.952,-4.006523333333333,76.29734,35.11937999046035,10.782351377313963,1028.3446056777564,1498.4267539504065
370.2,10.582,34.932,-4.006523333333333,76.29734,35.09942860254436,10.527949458627504,1028.4668358110648,1497.8398075039458
390.0,10.349,34.916,-4.006523333333333,76.29734,35.083503487657794,10.293535951710078,1028.5858153511715,1497.3149088821315
409.7,10.163,34.903,-4.006523333333333,76.29734,35.070590639657446,10.105985216657304,1028.6978086496758,1496.9554877772653
429.7,9.944,34.888,-4.006523333333333,76.29734,35.05567248937532,9.885597262142928,1028.8152417293807,1496.4763501664447
450.1,9.766,34.881,-4.006523333333333,76.29734,35.04879517244428,9.705922734361733,1028.9330942124923,1496.1575345702468
469.9,9.592,34.875,-4.006523333333333,76.29734,35.04291745963725,9.530335437040888,1029.0481069467996,1495.8417278567917
490.1,9.426,34.872,-4.006523333333333,76.29734,35.0400593933819,9.362661902518425,1029.165654162413,1495.562510863044
512.3,9.229,34.866,-4.006523333333333,76.29734,35.034212514525514,9.16398630700197,1029.2950478725368,1495.1958984373148
537.5,9.034,34.864,-4.006523333333333,76.29734,35.032436419681794,8.966947555220857,1029.4404739695958,1494.8869375186741
562.4,8.87,34.857,-4.006523333333333,76.29734,35.02563605502095,8.800958884674996,1029.5751348550411,1494.6783304037176
587.4,8.716,34.855,-4.006523333333333,76.29734,35.02386183046346,8.644877369313809,1029.7122853468427,1494.5122171278024
612.6,8.594,34.87,-4.006523333333333,76.29734,35.039178165547646,8.520370805374295,1029.8580682288818,1494.4876470799322
637.9,8.391,34.864,-4.006523333333333,76.29734,35.03341624181748,8.315676267798077,1030.0014127049837,1494.133890219377
662.9,8.217,34.859,-4.006523333333333,76.29734,35.02865919982287,8.139912882961674,1030.139116309018,1493.8819316723564
687.8,7.963,34.841,-4.006523333333333,76.29734,35.01083333084911,7.884882268500611,1030.2791449902124,1493.306194687942
712.8,7.746,34.837,-4.006523333333333,76.29734,35.00707824375081,7.6664818230574046,1030.4241117396855,1492.8844791499362
737.7,7.583,34.845,-4.006523333333333,76.29734,35.01537092395505,7.501650517933037,1030.5690149774111,1492.6785610301777
762.6,7.563,34.869,-4.006523333333333,76.29734,35.03974090136807,7.478727439703835,1030.703331941136,1493.0391099447168
787.4,7.611,34.914,-4.006523333333333,76.29734,35.08521693121105,7.523032262694474,1030.842548194567,1493.6847129538617
812.7,7.564,34.923,-4.006523333333333,76.29734,35.094511974038824,7.473474666390912,1030.9712155314303,1493.930040454127
837.6,7.483,34.92,-4.006523333333333,76.29734,35.091713658434784,7.390398454769354,1031.0941673197099,1494.0232731747124
862.1,7.235,34.885,-4.006523333333333,76.29734,35.05675657125006,7.142076644995621,1031.2171327146498,1493.4256377706656
887.6,6.909,34.845,-4.006523333333333,76.29734,35.01678592454015,6.816363015764413,1031.352523871969,1492.5284941989946
912.7,6.772,34.842,-4.006523333333333,76.29734,35.01398356057445,6.677821431464445,1031.4848826128894,1492.4013249828147
937.1,6.539,34.825,-4.006523333333333,76.29734,34.99708034225376,6.444342419493368,1031.6178584205152,1491.8663176454475
962.4,6.626,34.866,-4.006523333333333,76.29734,35.03846910135883,6.527461676395104,1031.7505988839866,1492.674255309394
987.3,6.288,34.823,-4.006523333333333,76.29734,34.99543976935461,6.190271157075261,1031.8814539397742,1491.6967884590247
1024.5,6.133,34.824,-4.006523333333333,76.29734,34.996699669216845,6.032802933166246,1032.0737914871545,1491.6938162995882
